,Team,PTS,P%,pos_score
0,ANA,2.0,0.3333333333333333,-0.6797153024911032
1,ARI,1.0,0.125,-1.3633633633633633
2,BOS,3.0,0.3,-0.6909769335142469
3,BUF,2.0,0.25,-1.044803982576229
4,CAR,4.0,0.5,-0.7520151133501259
5,CBJ,0.0,0.0,-1.4807171853856562
6,CGY,6.0,0.6,2.430410447761194
7,CHI,1.0,0.125,0.012170385395537525
8,COL,3.0,0.25,-0.6472623808059059
9,DAL,8.0,0.8,0.5037579113924051
10,DET,2.0,0.3333333333333333,0.07819337361950407
11,EDM,4.0,0.4,-0.6752973748974569
12,FLA,8.0,0.8,1.3708452041785375
13,LAK,4.0,0.6666666666666666,0.3737300435413643
14,MIN,8.0,1.0,0.4570943075615973
15,MTL,4.0,0.4,1.278830176138252
16,NJD,7.0,0.5833333333333334,0.11165680473372781
17,NSH,2.0,0.3333333333333333,-0.3987915407854985
18,NYI,5.0,0.625,-0.5844699318040918
19,NYR,10.0,1.0,1.1510917030567687
20,OTT,4.0,0.6666666666666666,-0.8285599571734475
21,PHI,9.0,0.9,1.3353772327379365
22,PIT,4.0,0.4,-0.09572127139364303
23,SEA,4.0,0.5,0.774228028503563
24,SJS,2.0,0.5,0.23979591836734693
25,STL,6.0,0.75,0.7745069605568445
26,TBL,6.0,0.6,-0.9120654396728016
27,TOR,6.0,0.6,-1.1019271106449922
28,VAN,9.0,0.75,-0.11190476190476191
29,WPG,4.0,0.5,-0.05175224123879381
30,WSH,3.0,0.3,0.1186411149825784
0,ANA,5.0,0.4166666666666667,-0.43712753277711563
1,ARI,1.0,0.08333333333333333,-1.5452586206896552
2,BOS,10.0,0.7142857142857143,0.6363776771004942
3,BUF,10.0,0.7142857142857143,-0.65234375
4,CAR,13.0,0.8125,-0.735137851809305
5,CBJ,6.0,0.42857142857142855,-0.1475738781466618
6,CGY,8.0,1.0,1.0502509410288583
7,CHI,4.0,0.4,-0.27155356380708495
8,COL,9.0,0.75,0.5041074909495962
9,DAL,7.0,0.4375,0.27721685689201053
10,DET,12.0,0.8571428571428571,3.636091049780758
11,EDM,9.0,0.6428571428571429,-0.19315623592976136
12,FLA,10.0,1.0,0.892415596766524
13,LAK,10.0,0.625,0.9382807852468769
14,MIN,7.0,0.5,0.18370433099443503
15,MTL,3.0,0.25,0.45793991416309016
16,NJD,6.0,0.5,-2.3769263698630136
17,NSH,14.0,1.0,0.8657046281851274
18,NYI,7.0,0.7,-1.3225978647686834
19,NYR,10.0,0.8333333333333334,1.6911734589391767
20,OTT,7.0,0.5,-0.17368913857677903
21,PHI,4.0,0.4,-0.6360949924779712
22,PIT,7.0,0.7,-0.3326578858493752
23,SEA,7.0,0.7,1.6282365290412877
24,SJS,0.0,0.0,-0.6198248407643312
25,STL,3.0,0.25,-0.11998269896193772
26,TBL,5.0,0.35714285714285715,-1.0909868796349116
27,TOR,12.0,0.8571428571428571,1.386836935166994
28,VAN,3.0,0.21428571428571427,-0.3635655533399801
29,WPG,10.0,0.7142857142857143,0.4112971598134803
30,WSH,9.0,0.75,0.1881733594515181
0,ANA,4.0,0.25,-0.12931798051372898
1,ARI,8.0,0.5,-0.21022727272727273
2,BOS,9.0,0.6428571428571429,1.4435644799201797
3,BUF,9.0,0.6428571428571429,0.5960519980741454
4,CAR,8.0,0.6666666666666666,-0.5171979865771812
5,CBJ,7.0,0.5833333333333334,-0.26407734056987786
6,CGY,6.0,0.42857142857142855,1.069226393629124
7,CHI,6.0,0.5,0.3408999598232222
8,COL,10.0,0.8333333333333334,1.9278993435448577
9,DAL,8.0,0.6666666666666666,0.9236947791164659
10,DET,0.0,0.0,-2.297995174632353
11,EDM,11.0,0.7857142857142857,1.562987987987988
12,FLA,10.0,0.7142857142857143,0.5006788207913111
13,LAK,9.0,0.6428571428571429,1.066376306620209
14,MIN,11.0,0.7857142857142857,0.4214335745972449
15,MTL,6.0,0.5,0.43068974771873325
16,NJD,4.0,0.2857142857142857,-2.3918754674644727
17,NSH,10.0,0.8333333333333334,0.7907298512625389
18,NYI,8.0,0.8,0.8141905135241082
19,NYR,7.0,0.5833333333333334,0.43272949318135556
20,OTT,5.0,0.35714285714285715,-1.0723507712944333
21,PHI,7.0,0.5833333333333334,-0.294512787309809
22,PIT,5.0,0.4166666666666667,-1.089410348977136
23,SEA,5.0,0.5,0.806415620641562
24,SJS,4.0,0.2857142857142857,0.5219444444444444
25,STL,8.0,0.6666666666666666,-0.007363253856942496
26,TBL,6.0,0.75,0.9010638297872341
27,TOR,8.0,0.6666666666666666,-1.087967748604507
28,VAN,9.0,0.9,0.400990099009901
29,WPG,10.0,0.7142857142857143,0.4478654921226495
30,WSH,8.0,0.6666666666666666,0.17845326716294457
0,ANA,3.0,0.1875,-1.164071510957324
1,ARI,8.0,0.5714285714285714,4.278499278499279
2,BOS,8.0,0.5714285714285714,0.5854511541151783
3,BUF,6.0,0.375,-1.179182616527809
4,CAR,15.0,0.8333333333333334,0.6045304986079474
5,CBJ,5.0,0.3125,-0.7041387024608501
6,CGY,4.0,0.2857142857142857,0.3512092534174553
7,CHI,8.0,0.5714285714285714,0.6202733485193622
8,COL,11.0,0.7857142857142857,1.5047870436649964
9,DAL,14.0,1.0,1.960302337398374
10,DET,8.0,0.5,0.44452910697957937
11,EDM,11.0,0.6875,0.5827408103031929
12,FLA,5.0,0.35714285714285715,-1.0901243093922652
13,LAK,8.0,0.5714285714285714,0.09326923076923077
14,MIN,7.0,0.5833333333333334,-0.7838664812239221
15,MTL,7.0,0.5,0.6917396745932416
16,NJD,8.0,0.5,-1.3838620211475126
17,NSH,10.0,0.7142857142857143,0.7367617107942973
18,NYI,5.0,0.3125,-1.7933477055743763
19,NYR,14.0,0.875,1.4377564418184803
20,OTT,12.0,0.6666666666666666,-0.12008910490076954
21,PHI,6.0,0.375,-1.2214871094416937
22,PIT,8.0,0.5,-0.38549046321525887
23,SEA,5.0,0.3125,0.4268684852517188
24,SJS,3.0,0.1875,0.5008992805755396
25,STL,11.0,0.6875,0.08460172501268391
26,TBL,13.0,0.9285714285714286,0.1851383714741884
27,TOR,9.0,0.5625,-0.6007826965157381
28,VAN,8.0,0.5714285714285714,-0.3199328187535735
29,WPG,5.0,0.3125,-0.05557846978758507
30,WSH,11.0,0.6875,0.9819233021077284
0,ANA,7.0,0.5,0.1906779661016949
1,ARI,10.0,0.625,0.6339946200403497
2,BOS,8.0,0.5714285714285714,-0.2253122790478435
3,BUF,9.0,0.6428571428571429,-0.42045454545454547
4,CAR,10.0,0.7142857142857143,0.4963037634408602
5,CBJ,6.0,0.375,1.0928741800834825
6,CGY,8.0,0.4444444444444444,0.7314718839077481
7,CHI,3.0,0.1875,0.5672698662470496
8,COL,7.0,0.4375,-1.5965661495555168
9,DAL,10.0,0.7142857142857143,0.7767814155031295
10,DET,11.0,0.6875,0.30665596002855106
11,EDM,10.0,0.5,-0.04030402131782946
12,FLA,10.0,0.7142857142857143,-0.454953510740622
13,LAK,12.0,0.6666666666666666,0.21476510067114093
14,MIN,8.0,0.4,0.21209580838323353
15,MTL,8.0,0.4444444444444444,0.6917339962709758
16,NJD,5.0,0.3125,-1.7672607038780543
17,NSH,9.0,0.5625,0.15404761904761904
18,NYI,17.0,0.9444444444444444,-0.06207172224760164
19,NYR,10.0,0.625,-0.7612860892388451
20,OTT,8.0,0.4444444444444444,-0.9942155756207675
21,PHI,5.0,0.35714285714285715,-2.065211048434157
22,PIT,13.0,0.7222222222222222,-0.008551634552933535
23,SEA,8.0,0.4444444444444444,1.6847677595628416
24,SJS,5.0,0.2777777777777778,1.9800420168067228
25,STL,10.0,0.625,-0.2623355263157895
26,TBL,9.0,0.5,0.049167927382753406
27,TOR,9.0,0.5,-0.6970811220621683
28,VAN,9.0,0.5625,0.4299456767768221
29,WPG,16.0,1.0,0.9975126804525947
30,WSH,9.0,0.5,-0.7717519452959207
