,Team,comments,pos_score
0,DET,42308,0.43349486315520797
1,VAN,35978,0.007106528357681529
2,EDM,33909,0.24739423322922663
3,TOR,26277,-0.4201843485320823
4,PHI,25580,-0.5763857409851388
5,NYR,25039,0.7902930015513873
6,NJD,24475,-1.561653551523865
7,WPG,24277,0.34986892427246913
8,COL,22737,0.3385930695596055
9,BOS,20345,0.3498208197147524
10,MTL,19052,0.7101867017768585
11,DAL,18909,0.888350660060477
12,CGY,18723,1.126513783948876
13,MIN,18540,0.09809230806251772
14,PIT,17450,-0.38236632079766936
15,SEA,17449,1.0641032846001948
16,TBL,16451,-0.17353643813270747
17,BUF,15392,-0.5401465792968876
18,CAR,15374,-0.18070333793756094
19,STL,14752,0.09388544128697175
20,NYI,14599,-0.589659342174129
21,WSH,13552,0.13908781968176975
22,NSH,13216,0.4296904537008168
23,VGK,12988,0.5250496084781929
24,OTT,12829,-0.6377809095132394
25,LAK,11998,0.5372842933697644
26,FLA,11749,0.24377236032069707
27,CBJ,10787,-0.3007265852959127
28,CHI,10555,0.2538119992356173
29,ANA,5444,-0.44391087212751545
30,ARI,4029,0.3587289283518674
31,SJS,3461,0.5245713638859445
