,Unnamed: 0,Team,comments,pos_score,logo
0,0,DET,42308,0.4334948631552079,nhl-logos/DET_logo.png
1,1,VAN,35978,0.0071065283576815,nhl-logos/VAN_logo.png
2,2,EDM,33909,0.2473942332292266,nhl-logos/EDM_logo.png
3,3,TOR,26277,-0.4201843485320823,nhl-logos/TOR_logo.png
4,4,PHI,25580,-0.5763857409851388,nhl-logos/PHI_logo.png
5,5,NYR,25039,0.7902930015513873,nhl-logos/NYR_logo.png
6,6,NJD,24475,-1.561653551523865,nhl-logos/NJD_logo.png
7,7,WPG,24277,0.3498689242724691,nhl-logos/WPG_logo.png
8,8,COL,22737,0.3385930695596055,nhl-logos/COL_logo.png
9,9,BOS,20345,0.3498208197147524,nhl-logos/BOS_logo.png
10,10,MTL,19052,0.7101867017768585,nhl-logos/MTL_logo.png
11,11,DAL,18909,0.888350660060477,nhl-logos/DAL_logo.png
12,12,CGY,18723,1.126513783948876,nhl-logos/CGY_logo.png
13,13,MIN,18540,0.0980923080625177,nhl-logos/MIN_logo.png
14,14,PIT,17450,-0.3823663207976693,nhl-logos/PIT_logo.png
15,15,SEA,17449,1.0641032846001948,nhl-logos/SEA_logo.png
16,16,TBL,16451,-0.1735364381327074,nhl-logos/TBL_logo.png
17,17,BUF,15392,-0.5401465792968876,nhl-logos/BUF_logo.png
18,18,CAR,15374,-0.1807033379375609,nhl-logos/CAR_logo.png
19,19,STL,14752,0.0938854412869717,nhl-logos/STL_logo.png
20,20,NYI,14599,-0.589659342174129,nhl-logos/NYI_logo.png
21,21,WSH,13552,0.1390878196817697,nhl-logos/WSH_logo.png
22,22,NSH,13216,0.4296904537008168,nhl-logos/NSH_logo.png
23,23,VGK,12988,0.5250496084781929,nhl-logos/VGK_logo.png
24,24,OTT,12829,-0.6377809095132394,nhl-logos/OTT_logo.png
25,25,LAK,11998,0.5372842933697644,nhl-logos/LAK_logo.png
26,26,FLA,11749,0.243772360320697,nhl-logos/FLA_logo.png
27,27,CBJ,10787,-0.3007265852959127,nhl-logos/CBJ_logo.png
28,28,CHI,10555,0.2538119992356173,nhl-logos/CHI_logo.png
29,29,ANA,5444,-0.4439108721275154,nhl-logos/ANA_logo.png
30,30,ARI,4029,0.3587289283518674,nhl-logos/ARI_logo.png
31,31,SJS,3461,0.5245713638859445,nhl-logos/SJS_logo.png
